01rMxQv6vhyE1oQX	('Tt2zZfL8oZDkkRJm', 0.39265990701906683)	('qUE9u0Hwgx9dbTlL', 0.37318625401853206)	('UneJ100Xc5sRBctQ', 0.36057400310280036)	('QkMsyKMDsyDDCXX2', 0.35640771077917704)	('NPsqSw5iEXrQwDl1', 0.35594023579012446)	('GLMb98xm0bVFx6fK', 0.35553831393817314)	('JrjFRJUJyXxxgEyg', 0.347822447145072)	('l3GioCNLUNUPOhC5', 0.33790779037263197)	('epaBkwF7YMz443Ql', 0.3378420359619529)	('INDWvz0mN8kSiuUR', 0.337142763519632)
02ZnlCGZEbkfCDxo	('Q0FuvjirjmMi2Xy4', 0.5288652914084805)	('NWDsqhKiTgeAi6QB', 0.5257222351230041)	('OP7MHZ2uuSgbBIBI', 0.5170078588533908)	('2CJ1Jent15MZxXMP', 0.5047268218331965)	('AEQOPkhJd2PVAOcY', 0.5024346110735418)	('mH2suhduIEa58xdJ', 0.49781738439976575)	('j38kWGeww0fjqBrC', 0.48126227164193125)	('2btvaaxMyGuMNTxy', 0.4778102098943225)	('U32XkamWnaMZKfGo', 0.4549421194652226)	('8nyPt8gB1K8g5FNv', 0.44418148088753967)
04OjszRi9rC5BlHC	('qVwKFf5dxh95bEAA', 0.6285925697086857)	('hxfmRI5dwYDxDIVk', 0.610370795811505)	('ILZwDeBWWOKmB5RL', 0.6087948822410344)	('nhmILgqxIeNkq01v', 0.5925667842740132)	('vKbfimgfMQtFkCFg', 0.5829201853860981)	('oyTlx1RNADpNzRCI', 0.5715963255836082)	('pAzgyML8giA3E70J', 0.5579022860485607)	('EE57XUwo2XWipbPl', 0.5568933660102858)	('X8defiYa8Kz7DAoL', 0.5536059077865527)	('TAttNMXzMbGCYjIE', 0.5458925674664394)
04iitW3ffa0mhpx3	('3VAsukfXNv9u3OwS', 0.5486206402767949)	('eOyMnpLaNgaDBVgl', 0.5456425226454643)	('knRIa5tWsfTo7RaB', 0.5443712099482463)	('wNFa9zt0pAOC8pRJ', 0.53715341129887)	('w1DNGoZLFFnLQO7L', 0.5362112039981635)	('QlzNEq6PotxwzssI', 0.5263166143832653)	('M6sUWCSbEbPcj8vv', 0.5226210627868078)	('563sr6vvVfkIypJH', 0.5216287633977813)	('Hb6QxQ3eizAI9OJy', 0.51979736813644)	('KKmk2QJLVj2Aqsjg', 0.5183402683766413)
04xUDjAYC14jsHyH	('khymRW0B0p6aUuSm', 0.6347908974855909)	('LEsoWCESdo0w4Jpv', 0.5999424772024334)	('3zunVGLsZK0jdx8C', 0.5955212533857756)	('Oq1ZwVYfNIJFbmTx', 0.593888643086215)	('Q9ji3TxEcglfaJXB', 0.5928355995286606)	('Fu8UwyrZ1iw2EmPZ', 0.5906844010056246)	('P6Z9ptCOYl5cteZe', 0.5903275549722006)	('pqRrADoga2QzRddh', 0.5903244977507754)	('nP4fQq4Ktl5UQY6e', 0.5845661566165165)	('N1LIEqoAukKHn3QN', 0.583285052909329)
06HvNTU9M9lnH71I	('pAzgyML8giA3E70J', 0.635642645762159)	('ILZwDeBWWOKmB5RL', 0.5949869473252961)	('mlRU0g4WnCiiok60', 0.5948836702657089)	('oyTlx1RNADpNzRCI', 0.5746298618042589)	('WFKgFwlYxgr5Bjg6', 0.5637820424253582)	('JvOSYYoGMARdZYdX', 0.5636364842888691)	('GTZ9KwLu7xO79fkt', 0.5567288622149716)	('hxfmRI5dwYDxDIVk', 0.5563797238930672)	('SrKQlJq9cpMxmUy0', 0.5493353890361105)	('vKbfimgfMQtFkCFg', 0.5459211475284516)
06WySIW5UDIHF2Ri	('vcfCYD1fYIL6wIf1', 0.6312376064756893)	('K90gzEQvo7ezB92j', 0.6293154787713671)	('yAnDRle4In4XlRfR', 0.6053111066556764)	('zsCTNZk7vynXWcR9', 0.5987850479913798)	('0WjgTnhITQmzuoOc', 0.5964992114932791)	('YzAbpq7RBs7sSjwK', 0.5895851640769739)	('srT66xcTBVRc3AP1', 0.5886460712144878)	('kVAqNushjm7xPaZz', 0.5786767679515045)	('Y8RhM265A3Xcfpgr', 0.5748468443649634)	('k7Nh93qJae1HAoRo', 0.5697776363973486)
07bR4m5Oo4lvHJFW	('NmxwBNHkpiWdYydl', 0.28640556107299836)	('DYKfD1gxKXIa9wto', 0.27766863646240947)	('qiJGvCVgSqRp9dsu', 0.27706811154248484)	('KmLvXEZaTy6o3jRp', 0.2564068547828087)	('h5lqRJS8HjAV8P3C', 0.24610806449254316)	('JIBOxdlkdZZ040qG', 0.24569644809084526)	('3HPU8KrO0QL5uiN9', 0.2453998833534704)	('Ap2jNYMNObvQLO34', 0.2328810261717804)	('duZJP3I5NQEoL95B', 0.2311816253381113)	('hNPII41mRaGZumVx', 0.22883553633562378)
08dDspNuBDh8GOqV	('PLOgMxOYSI8GzaXA', 0.6338667577195062)	('bUFaJKTTLcvigHZP', 0.6193471222979605)	('4ENRRF5JtUPXH5eD', 0.6150924950837772)	('C9TfpaaJWG6ZbRmg', 0.5918019966054241)	('yaPlo3XRb17GQjz1', 0.5900658994036467)	('V9HVYlU2kekOQ4Bk', 0.589898291775343)	('xk0Smig2qyV1CWXH', 0.5743634315290044)	('vgWYtda8B3FcxUsA', 0.5701464570482656)	('HhkNFzWHiGPft9UF', 0.5650562220612686)	('pK43WHEUOBtqbZqm', 0.5632556630950366)
09mWmQm7ixF4cCjx	('kObtPNCEmcSyfTt6', 0.7569146744677376)	('VTiQufVGka4dXkST', 0.7470919530700327)	('5KAnWG2JzhbMHJ8j', 0.7468859803625177)	('3zunVGLsZK0jdx8C', 0.7372619901951984)	('xbPROldsip73RSkA', 0.730837475016595)	('FFtQyoUyiRXOMzSY', 0.7297196498186395)	('7ekrmFU2el0NnRkp', 0.7225189698711932)	('Tx6KG4X6fEheS8o4', 0.7222656831814417)	('5EhorbjgWx6gQWck', 0.722147350347722)	('dM0xLgekoxu8BB9G', 0.7173460007669578)
